frameNumber,1,2,3,4,5,6
1,65.79020000008872,166.38800000001706,-1,-1,-1,-1
1,156.80280000007312,128.79699999998527,-1,-1,-1,-1
2,65.75460000009006,166.39320000001723,-1,-1,-1,-1
2,156.8386000000743,128.7919999999851,-1,-1,-1,-1
3,65.71740000009147,166.3986000000174,-1,-1,-1,-1
3,156.87580000007554,128.78639999998492,-1,-1,-1,-1
4,65.68060000009287,166.4042000000176,-1,-1,-1,-1
4,156.91260000007676,128.78099999998474,-1,-1,-1,-1
5,65.64160000009434,166.40980000001778,-1,-1,-1,-1
5,156.95140000007805,128.77539999998456,-1,-1,-1,-1
6,65.60540000009571,166.41500000001795,-1,-1,-1,-1
6,156.98760000007925,128.76999999998438,-1,-1,-1,-1
7,65.56840000009711,166.42080000001815,-1,-1,-1,-1
7,157.0248000000805,128.7643999999842,-1,-1,-1,-1
8,65.5422000000981,166.4258000000183,-1,-1,-1,-1
8,157.05080000008135,128.75939999998403,-1,-1,-1,-1
9,65.54080000009816,166.4312000000185,-1,-1,-1,-1
9,157.0522000000814,128.75399999998385,-1,-1,-1,-1
10,65.53920000009822,166.43640000001866,-1,-1,-1,-1
10,157.05380000008145,128.74859999998367,-1,-1,-1,-1
11,65.53780000009827,166.44220000001886,-1,-1,-1,-1
11,157.0554000000815,128.74279999998348,-1,-1,-1,-1
12,65.53640000009833,166.44740000001903,-1,-1,-1,-1
12,157.05680000008155,128.7375999999833,-1,-1,-1,-1
13,65.53480000009839,166.4528000000192,-1,-1,-1,-1
13,157.0584000000816,128.73239999998313,-1,-1,-1,-1
14,65.53320000009845,166.45800000001938,-1,-1,-1,-1
14,157.05980000008165,128.72699999998295,-1,-1,-1,-1
15,65.5290000000986,166.46320000001955,-1,-1,-1,-1
15,157.0642000000818,128.72179999998278,-1,-1,-1,-1
16,65.51660000009907,166.46900000001975,-1,-1,-1,-1
16,157.0764000000822,128.7161999999826,-1,-1,-1,-1
17,65.5026000000996,166.47420000001992,-1,-1,-1,-1
17,158.82600000008236,128.71099999998242,-1,-1,-1,-1
18,65.48900000010012,166.66760000002003,-1,-1,-1,-1
18,170.42700000008205,128.70559999998224,-1,-1,-1,-1
19,65.47540000010063,167.18700000001996,-1,-1,-1,-1
19,183.45820000008163,128.70019999998206,-1,-1,-1,-1
20,65.46100000010118,167.24060000002004,-1,-1,-1,-1
20,194.69800000008104,128.6949999999819,-1,-1,-1,-1
21,68.53500000010149,167.90280000002005,-1,-1,-1,-1
21,201.91900000008042,128.68979999998172,-1,-1,-1,-1
22,79.37220000010163,169.70160000001997,-1,-1,-1,-1
22,204.92200000007983,128.68439999998154,-1,-1,-1,-1
23,90.52800000010164,173.4646000000199,-1,-1,-1,-1
23,205.04520000008006,128.67919999998136,-1,-1,-1,-1
24,103.18520000010156,178.50920000001977,-1,-1,-1,-1
24,205.05980000008054,128.86099999998123,-1,-1,-1,-1
25,111.4940000001014,183.59960000001968,-1,-1,-1,-1
25,205.07420000008102,131.07859999998132,-1,-1,-1,-1
26,115.64100000010122,187.68980000001957,-1,-1,-1,-1
26,202.67840000008093,134.68599999998133,-1,-1,-1,-1
27,116.18820000010089,192.66980000001945,-1,-1,-1,-1
27,191.51880000008043,138.1399999999814,-1,-1,-1,-1
28,116.21160000010036,197.8008000000193,-1,-1,-1,-1
28,183.85400000007996,140.8021999999814,-1,-1,-1,-1
29,125.06700000010017,203.23280000001915,-1,-1,-1,-1
29,188.30160000007945,143.05399999998144,-1,-1,-1,-1
30,137.7242000000999,208.565200000019,-1,-1,-1,-1
30,202.41240000007895,144.69699999998147,-1,-1,-1,-1
31,146.07620000009956,214.09820000001883,-1,-1,-1,-1
31,216.64540000007838,145.80799999998152,-1,-1,-1,-1
32,150.20900000009922,219.7316000000187,-1,-1,-1,-1
32,224.52580000007754,146.31759999998155,-1,-1,-1,-1
33,150.72740000009932,224.96280000001855,-1,-1,-1,-1
33,221.22520000007674,145.89259999998157,-1,-1,-1,-1
34,150.7418000000998,230.2946000000184,-1,-1,-1,-1
34,207.47600000007637,143.33799999998166,-1,-1,-1,-1
35,156.8694000000996,235.5076000000182,-1,-1,-1,-1
35,193.36000000007596,138.6141999999817,-1,-1,-1,-1
36,171.5558000000992,240.30720000001796,-1,-1,-1,-1
36,182.77500000007544,133.48399999998185,-1,-1,-1,-1
37,186.2380000000988,245.43760000001782,-1,-1,-1,-1
37,176.45320000007493,128.63899999998193,-1,-1,-1,-1
38,198.43480000009822,251.07080000001767,-1,-1,-1,-1
38,174.3940000000744,123.91819999998204,-1,-1,-1,-1
39,206.17300000009752,256.50360000001746,-1,-1,-1,-1
39,174.4088000000749,119.95999999998213,-1,-1,-1,-1
40,199.07060000009682,261.9362000000167,-1,-1,-1,-1
40,174.4234000000754,116.58499999998227,-1,-1,-1,-1
41,189.4216000000962,267.4692000000159,-1,-1,-1,-1
41,178.1724000000752,113.74699999998239,-1,-1,-1,-1
42,193.6496000000956,273.1026000000151,-1,-1,-1,-1
42,192.4234000000748,111.47899999998252,-1,-1,-1,-1
43,206.63760000009498,278.2328000000144,-1,-1,-1,-1
43,206.80920000007438,109.95919999998263,-1,-1,-1,-1
44,220.68320000009447,283.7658000000136,-1,-1,-1,-1
44,221.49640000007398,108.90319999998275,-1,-1,-1,-1
45,234.92860000009384,288.8968000000129,-1,-1,-1,-1
45,234.125400000073,108.46459999998285,-1,-1,-1,-1
46,245.4262000000928,294.12820000001216,-1,-1,-1,-1
46,246.10040000007191,108.43059999998302,-1,-1,-1,-1
47,251.80620000009176,300.0636000000113,-1,-1,-1,-1
47,257.6424000000707,108.49879999998322,-1,-1,-1,-1
48,252.72140000009077,305.22460000001075,-1,-1,-1,-1
48,264.97940000006946,110.14199999998333,-1,-1,-1,-1
49,243.07040000008976,309.9946000000103,-1,-1,-1,-1
49,268.1114000000683,114.04279999998343,-1,-1,-1,-1
50,246.74700000008886,314.2768000000098,-1,-1,-1,-1
50,268.2484000000684,119.44539999998366,-1,-1,-1,-1
51,260.4830000000877,317.9758000000093,-1,-1,-1,-1
51,268.26280000006886,124.86679999998391,-1,-1,-1,-1
52,260.73820000008664,321.14380000000875,-1,-1,-1,-1
52,271.14160000006837,130.19979999998398,-1,-1,-1,-1
53,246.71940000008547,323.58260000000826,-1,-1,-1,-1
53,285.4592000000665,134.69779999998403,-1,-1,-1,-1
54,233.06080000008484,326.06960000000777,-1,-1,-1,-1
54,299.44260000006454,138.86679999998407,-1,-1,-1,-1
55,222.318200000084,330.1786000000073,-1,-1,-1,-1
55,314.23060000006245,142.13179999998405,-1,-1,-1,-1
56,226.99620000008326,335.9126000000065,-1,-1,-1,-1
56,326.8878000000608,145.24399999998408,-1,-1,-1,-1
57,241.43480000008282,341.45060000000586,-1,-1,-1,-1
57,335.1966000000591,147.74379999998408,-1,-1,-1,-1
58,256.12220000008205,346.0028000000053,-1,-1,-1,-1
58,339.38680000005746,149.4663999999841,-1,-1,-1,-1
59,270.30640000008003,349.97180000000475,-1,-1,-1,-1
59,339.4322000000564,150.60579999998413,-1,-1,-1,-1
60,284.994400000078,353.06860000000415,-1,-1,-1,-1
60,328.14080000005464,151.13499999998416,-1,-1,-1,-1
61,299.6822000000759,355.9726000000036,-1,-1,-1,-1
61,313.4826000000527,151.24259999998407,-1,-1,-1,-1
62,314.26920000007385,358.12480000000306,-1,-1,-1,-1
62,298.92460000005076,151.9589999999841,-1,-1,-1,-1
63,328.55420000007183,360.5026000000025,-1,-1,-1,-1
63,284.6678000000489,152.27759999998412,-1,-1,-1,-1
64,343.1412000000698,365.04220000000186,-1,-1,-1,-1
64,270.10980000004696,152.27299999998397,-1,-1,-1,-1
65,353.40880000006786,370.03980000000115,-1,-1,-1,-1
65,255.4512000000463,152.2677999999838,-1,-1,-1,-1
66,344.92680000006607,372.1598000000006,-1,-1,-1,-1
66,241.02920000004553,152.26279999998363,-1,-1,-1,-1
67,331.7022000000643,371.31179999999995,-1,-1,-1,-1
67,226.57180000004527,152.25699999998344,-1,-1,-1,-1
68,335.2938000000627,368.2545999999993,-1,-1,-1,-1
68,212.114600000045,152.25159999998326,-1,-1,-1,-1
69,349.92260000006064,365.0925999999987,-1,-1,-1,-1
69,197.3552000000447,152.2465999999831,-1,-1,-1,-1
70,363.91280000005867,362.4041999999981,-1,-1,-1,-1
70,183.6758000000443,152.24139999998292,-1,-1,-1,-1
71,378.29860000005664,360.2867999999976,-1,-1,-1,-1
71,172.32160000004393,152.23619999998274,-1,-1,-1,-1
